yolov3-tiny-data
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 9.509367 seconds
Region 16 Avg IOU: 0.126591, Class: 0.381870, Obj: 0.722871, No Obj: 0.602246, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 23 Avg IOU: 0.109366, Class: 0.444415, Obj: 0.525072, No Obj: 0.503147, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.181024, Class: 0.408035, Obj: 0.715260, No Obj: 0.594819, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.112706, Class: 0.677607, Obj: 0.530303, No Obj: 0.507151, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.160578, Class: 0.396102, Obj: 0.717863, No Obj: 0.603387, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.060116, Class: 0.611582, Obj: 0.554235, No Obj: 0.502946, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.139143, Class: 0.493805, Obj: 0.784673, No Obj: 0.601258, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.174215, Class: 0.603636, Obj: 0.503592, No Obj: 0.504642, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 16 Avg IOU: 0.167258, Class: 0.511367, Obj: 0.713861, No Obj: 0.604901, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.401658, Class: 0.721815, Obj: 0.433888, No Obj: 0.506500, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 16 Avg IOU: 0.195637, Class: 0.386568, Obj: 0.552724, No Obj: 0.603524, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.211388, Class: 0.714974, Obj: 0.496884, No Obj: 0.508687, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.160677, Class: 0.482064, Obj: 0.645611, No Obj: 0.605177, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.256745, Class: 0.618797, Obj: 0.804289, No Obj: 0.505664, .5R: 0.166667, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.179950, Class: 0.606230, Obj: 0.699761, No Obj: 0.609108, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.096751, Class: 0.441822, Obj: 0.587129, No Obj: 0.504714, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.204112, Class: 0.450570, Obj: 0.706634, No Obj: 0.601702, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.185188, Class: 0.769314, Obj: 0.589069, No Obj: 0.505922, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 16 Avg IOU: 0.182693, Class: 0.453217, Obj: 0.752908, No Obj: 0.602396, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.070614, Class: 0.634871, Obj: 0.411986, No Obj: 0.506572, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.243248, Class: 0.501558, Obj: 0.679594, No Obj: 0.603325, .5R: 0.100000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.103532, Class: 0.471750, Obj: 0.562878, No Obj: 0.504493, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 16 Avg IOU: 0.107494, Class: 0.572697, Obj: 0.584335, No Obj: 0.608762, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 23 Avg IOU: 0.175919, Class: 0.666407, Obj: 0.627065, No Obj: 0.505832, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.174975, Class: 0.469004, Obj: 0.699374, No Obj: 0.602238, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.218601, Class: 0.605851, Obj: 0.557743, No Obj: 0.507188, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.064378, Class: 0.476376, Obj: 0.709487, No Obj: 0.603310, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 23 Avg IOU: 0.120178, Class: 0.659506, Obj: 0.650450, No Obj: 0.504996, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.219899, Class: 0.481219, Obj: 0.638279, No Obj: 0.598935, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 23 Avg IOU: 0.273504, Class: 0.666122, Obj: 0.717851, No Obj: 0.506416, .5R: 0.166667, .75R: 0.000000,  count: 6
Region 16 Avg IOU: 0.081715, Class: 0.492124, Obj: 0.682658, No Obj: 0.606875, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.184505, Class: 0.642163, Obj: 0.734512, No Obj: 0.504098, .5R: 0.000000, .75R: 0.000000,  count: 8
1: 439.519196, 439.519196 avg, 0.000000 rate, 313.452430 seconds, 64 images
Loaded: 0.000043 seconds
Region 16 Avg IOU: 0.156228, Class: 0.451143, Obj: 0.762393, No Obj: 0.600109, .5R: 0.076923, .75R: 0.000000,  count: 13
Region 23 Avg IOU: 0.171437, Class: 0.535271, Obj: 0.660639, No Obj: 0.503327, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.274899, Class: 0.494113, Obj: 0.630539, No Obj: 0.598246, .5R: 0.181818, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.325239, Class: 0.687995, Obj: 0.650052, No Obj: 0.507896, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.265257, Class: 0.355374, Obj: 0.720184, No Obj: 0.601312, .5R: 0.200000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.245274, Class: 0.756411, Obj: 0.643751, No Obj: 0.504377, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.121283, Class: 0.467925, Obj: 0.770022, No Obj: 0.605194, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 23 Avg IOU: 0.119828, Class: 0.830573, Obj: 0.509768, No Obj: 0.505868, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 16 Avg IOU: 0.212847, Class: 0.476456, Obj: 0.698606, No Obj: 0.605691, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.230215, Class: 0.581457, Obj: 0.521660, No Obj: 0.505845, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 16 Avg IOU: 0.244242, Class: 0.551959, Obj: 0.641882, No Obj: 0.607837, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 23 Avg IOU: 0.202110, Class: 0.685008, Obj: 0.572837, No Obj: 0.508691, .5R: 0.200000, .75R: 0.000000,  count: 5
Region 16 Avg IOU: 0.176372, Class: 0.480003, Obj: 0.657156, No Obj: 0.609255, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 23 Avg IOU: 0.123476, Class: 0.782295, Obj: 0.659918, No Obj: 0.506514, .5R: 0.000000, .75R: 0.000000,  count: 2
